NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	99.449	61.072	17.02	41.783	0.51	0.848	100000.0
2	99.093	61.145	17.144	41.962	0.509	0.847	80000.0
3	97.279	59.406	16.766	40.867	0.506	0.855	80000.0
4	103.85	62.574	18.106	42.835	0.502	0.842	190000.0
5	96.185	59.658	16.17	40.932	0.509	0.854	120000.0
6	95.492	57.532	16.347	39.752	0.493	0.862	60000.0
7	96.829	60.193	16.715	41.482	0.51	0.849	190000.0
8	95.274	58.747	16.219	40.215	0.504	0.858	60000.0
9	95.866	58.826	16.359	40.679	0.501	0.856	70000.0
10	101.317	61.182	17.487	41.728	0.498	0.851	60000.0
