NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.837	83.706	0.162	88.319	355.004	0.559	15000.0
2	0.77	76.99	0.137	71.802	191.23	0.6	15000.0
3	0.855	85.46	0.164	88.325	458.722	0.554	30000.0
4	0.801	80.121	0.143	75.963	2.781	0.569	20000.0
5	0.85	84.953	0.162	83.982	165.685	0.558	15000.0
6	0.794	79.439	0.173	78.61	66.285	0.759	30000.0
7	0.962	96.2	0.18	84.246	486.051	0.576	80000.0
8	0.798	79.803	0.176	78.1	23.373	0.714	15000.0
9	0.753	75.252	0.128	69.432	103.637	0.589	30000.0
10	1.198	119.795	0.264	103.911	503.948	0.736	105000.0
