Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I
EXO1_0_real_train1	1.14E-01	1.09E-02	1.31E-01	7.21E-02	1.41E-01	1.11E-26	1.46E-02	3.62E-02	1.19E-01
OGG1_0_real_train1	9.83E-02	8.97E-03	9.76E-02	8.34E-03	9.25E-02	1.53E-01	6.73E-03	8.31E-03	1.31E-01
RNF168_0_real_train1	1.28E-01	2.73E-126	7.64E-02	5.80E-02	6.78E-02	1.05E-01	1.41E-01	6.76E-02	1.10E-01
UNG_0_real_train1	2.96E-02	3.07E-137	9.72E-02	8.82E-02	1.44E-01	9.67E-02	8.85E-02	7.84E-02	1.01E-01
ATP2B4_0_real_train1	9.65E-02	8.08E-02	6.37E-02	7.71E-02	2.39E-02	3.51E-02	1.63E-02	1.25E-01	8.48E-02
ATP2B4_1_real_train1	1.14E-01	9.27E-02	7.28E-02	8.76E-02	3.12E-02	3.20E-02	8.66E-03	1.54E-01	1.07E-01
MLH1_0_real_train1	1.13E-01	1.49E-01	1.13E-01	3.63E-02	4.45E-03	1.49E-01	1.10E-01	1.09E-01	8.13E-02
MSH2_0_real_train1	4.81E-02	7.51E-02	1.44E-01	1.04E-01	1.09E-01	1.15E-03	4.19E-02	1.57E-01	3.34E-03
MSH6_0_real_train1	9.74E-02	1.61E-01	3.69E-02	1.24E-01	7.78E-02	4.86E-04	5.22E-02	4.88E-65	6.84E-02
MSH6_1_real_train1	9.79E-02	1.64E-01	3.84E-02	1.27E-01	7.76E-02	2.64E-03	5.41E-02	3.08E-100	6.83E-02
PMS1_0_real_train1	1.05E-01	1.39E-01	5.44E-03	1.03E-01	1.06E-01	5.35E-03	1.34E-01	1.05E-01	9.10E-02
PMS2_0_real_train1	4.73E-03	1.11E-02	9.59E-02	1.49E-01	5.04E-03	9.77E-02	1.44E-01	3.22E-03	1.03E-01
EXO1_0_multinomial_train1	1.14E-01	1.12E-02	1.31E-01	7.21E-02	1.42E-01	1.11E-26	1.26E-02	3.57E-02	1.19E-01
EXO1_0_multinomial_train1.1	1.12E-01	1.08E-02	1.30E-01	7.14E-02	1.38E-01	1.11E-26	1.73E-02	3.68E-02	1.18E-01
