Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J
EXO1_0_real_train1	0.03205169324162656	1.142709597764753e-80	0.9382391685317488	1.57e-321	6.182051514726833e-87	0.029709138226624555	2.737e-321	5.305790151102411e-115	1.0817519666456676e-80	2.92e-321
OGG1_0_real_train1	1.227005093734177e-68	0.004999151825039345	6.360400063106833e-66	0.8369687908834377	1.2903139504120232e-47	7.82628954453736e-35	1.9344875145999783e-16	0.05704284078891713	1.3096906395588763e-08	0.10098920340569931
RNF168_0_real_train1	3.9e-321	2.8606500553736354e-199	0.33102174700379117	0.01662646303361587	4.7799017548333365e-164	3.39e-321	1.8647090359339047e-23	1.691230717238192e-305	0.6258911587722563	0.026460631190336547
UNG_0_real_train1	9.3e-322	0.05454717569420431	8.018637442876599e-110	1.9538593323919985e-15	0.7663576279256327	8.25e-322	0.14180222327453532	1.566e-321	0.03729297310562574	1.863e-321
ATP2B4_0_real_train1	3.206e-321	0.03695329645520949	3.49103721196683e-100	0.07565609531394303	0.13294719352399134	2.88e-321	0.5552598739192021	3.0271315996162326e-75	0.19918354078765413	5.78548933348518e-151
ATP2B4_1_real_train1	6.902639319484468e-241	0.007894845951038407	2.5852636212485522e-292	5.887452641069904e-32	1.25e-321	5.387123313353414e-206	0.7842212859895894	0.03831880241921748	3.4744201607121085e-296	0.16956506564015464
MLH1_0_real_train1	0.8138512918067807	1.1551150326443059e-117	2.986965295707896e-80	3.15e-321	0.000379939763169023	0.13669917456467154	3.98e-321	0.0177211345504688	2.7218865958353703e-111	0.0313484593149099
MSH2_0_real_train1	9.256126735217523e-26	0.13383044281000805	1.447924112125332e-114	1.9776297e-317	0.04342325376222969	0.7780632478014802	0.04181288737247925	0.0028701682537685554	3.4181473439937414e-14	8.287476064628847e-211
MSH6_0_real_train1	0.8964867411829166	0.04880121095173679	5.460353895655835e-181	0.007197430368612592	6.323927369799253e-103	0.0049343100821917125	0.04258030741454229	1.7861404759425272e-79	4.7636396769586284e-132	1.3686601803860778e-119
MSH6_1_real_train1	0.483932180426095	0.13999758671197246	2.6029548830454754e-297	0.014509405808122265	2.066889507747608e-210	0.3175861974147173	0.008923651977510537	1.35e-321	4.1310989197109e-230	0.03505097766158233
