Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
OGG1_boot	2.45E-03	3.23E-02	1.79E-03	0.00E+00	1.93E-03	0.00E+00	3.83E-02
OGG1_boot.1	1.12E-69	2.31E-02	3.42E-03	8.05E-03	2.92E-03	1.18E-03	1.33E-02
OGG1_boot.2	0.00E+00	2.05E-02	2.57E-03	8.91E-03	1.12E-03	6.08E-04	3.08E-02
OGG1_boot.3	0.00E+00	1.80E-02	1.55E-13	4.55E-03	7.19E-04	9.12E-06	2.32E-02
OGG1_boot.4	4.79E-110	1.33E-02	3.12E-03	1.23E-02	1.80E-03	4.67E-04	2.74E-02
OGG1_boot.5	1.49E-03	2.41E-02	0.00E+00	6.58E-04	1.04E-03	1.00E-03	2.37E-02
OGG1_boot.6	7.41E-04	2.10E-02	2.75E-03	2.90E-03	1.06E-03	4.75E-04	2.51E-02
OGG1_boot.7	1.34E-03	2.14E-02	1.62E-03	2.10E-03	1.34E-03	6.01E-04	2.31E-02
OGG1_boot.8	0.00E+00	1.83E-02	8.66E-50	8.18E-03	5.34E-04	3.63E-53	2.77E-02
OGG1_boot.9	0.00E+00	1.51E-02	1.80E-03	3.45E-03	1.11E-03	3.13E-04	1.96E-02
OGG1_boot.10	2.09E-04	2.04E-02	8.11E-04	6.08E-03	1.46E-03	0.00E+00	1.50E-02
OGG1_boot.11	0.00E+00	1.46E-02	1.82E-03	5.86E-03	9.67E-04	3.13E-04	2.14E-02
OGG1_boot.12	1.05E-33	2.14E-02	1.51E-03	3.14E-03	1.26E-03	4.74E-04	2.50E-02
OGG1_boot.13	7.08E-04	2.24E-02	1.86E-03	4.25E-03	1.84E-03	5.84E-04	1.84E-02
OGG1_boot.14	7.57E-04	1.62E-02	5.18E-04	1.77E-03	8.78E-04	1.61E-114	1.63E-02
OGG1_boot.15	0.00E+00	1.33E-02	2.06E-03	7.76E-03	1.19E-03	4.03E-04	2.23E-02
OGG1_boot.16	2.45E-03	2.64E-02	0.00E+00	1.32E-05	1.24E-03	9.92E-04	2.38E-02
OGG1_boot.17	0.00E+00	1.78E-02	4.42E-04	7.01E-03	1.03E-03	2.98E-04	2.57E-02
OGG1_boot.18	0.00E+00	1.53E-02	0.00E+00	2.25E-03	4.27E-03	1.55E-03	1.65E-02
OGG1_boot.19	8.56E-125	1.41E-02	5.06E-04	6.83E-03	1.14E-03	3.43E-04	2.18E-02
OGG1_boot.20	6.71E-04	1.80E-02	1.03E-03	3.83E-03	8.07E-04	1.21E-04	2.25E-02
OGG1_boot.21	3.20E-98	2.41E-02	4.37E-03	5.10E-03	1.17E-03	7.03E-04	3.20E-02
OGG1_boot.22	1.01E-03	1.47E-02	8.27E-04	7.23E-03	6.14E-04	1.64E-36	2.29E-02
OGG1_boot.23	0.00E+00	1.97E-02	1.54E-03	7.05E-03	1.11E-03	3.97E-04	2.80E-02
OGG1_boot.24	1.11E-03	1.83E-02	1.13E-15	5.68E-03	5.47E-04	5.89E-04	2.49E-02
OGG1_boot.25	0.00E+00	1.78E-02	1.11E-03	7.40E-03	1.16E-03	2.88E-04	2.64E-02
OGG1_boot.26	0.00E+00	1.50E-02	8.43E-33	1.48E-02	1.05E-03	1.47E-118	3.12E-02
OGG1_boot.27	0.00E+00	1.97E-02	2.50E-36	4.69E-03	1.39E-03	5.58E-04	1.58E-02
OGG1_boot.28	2.32E-03	1.96E-02	2.67E-03	1.15E-02	1.19E-03	2.19E-127	3.35E-02
OGG1_boot.29	0.00E+00	2.08E-02	2.44E-03	4.68E-03	1.14E-03	4.76E-04	2.66E-02
OGG1_boot.30	0.00E+00	2.50E-02	3.52E-03	4.28E-04	2.03E-03	1.29E-04	2.42E-02
OGG1_boot.31	0.00E+00	1.95E-02	1.69E-03	1.90E-03	1.00E-03	5.84E-04	2.08E-02
OGG1_boot.32	0.00E+00	1.63E-02	5.45E-84	3.29E-03	9.58E-04	2.69E-04	1.99E-02
OGG1_boot.33	0.00E+00	1.87E-02	1.67E-03	4.29E-03	9.18E-04	4.40E-04	2.39E-02
OGG1_boot.34	0.00E+00	1.68E-02	2.55E-03	7.86E-03	1.35E-03	4.06E-04	2.60E-02
OGG1_boot.35	1.15E-08	1.74E-02	0.00E+00	6.95E-03	9.30E-04	4.31E-04	2.53E-02
OGG1_boot.36	6.48E-04	1.91E-02	2.10E-03	4.16E-03	8.63E-04	6.31E-04	2.43E-02
OGG1_boot.37	0.00E+00	1.83E-02	1.26E-03	2.13E-03	1.25E-03	3.26E-04	1.76E-02
OGG1_boot.38	0.00E+00	2.23E-02	1.21E-03	3.71E-03	1.52E-03	6.18E-04	2.00E-02
OGG1_boot.39	0.00E+00	1.50E-02	4.75E-121	5.90E-03	4.57E-03	1.69E-03	2.14E-02
OGG1_boot.40	0.00E+00	2.09E-02	2.12E-03	5.50E-03	1.79E-03	8.53E-04	1.64E-02
OGG1_boot.41	1.58E-121	2.11E-02	1.45E-03	4.59E-03	1.28E-03	4.20E-04	2.65E-02
OGG1_boot.42	7.73E-04	1.75E-02	1.98E-04	1.80E-03	9.79E-04	0.00E+00	1.75E-02
OGG1_boot.43	0.00E+00	1.63E-02	1.77E-03	9.27E-03	1.38E-03	4.92E-04	2.70E-02
