NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.392	39.159	0.063	30.109	0.214	0.91	40000.0
2	0.391	39.149	0.063	30.102	0.214	0.91	95000.0
3	0.387	38.742	0.062	29.898	0.23	0.911	105000.0
4	0.392	39.164	0.063	30.108	0.237	0.91	20000.0
5	0.387	38.745	0.062	29.898	0.213	0.911	75000.0
6	0.392	39.158	0.063	30.108	0.214	0.91	80000.0
7	0.387	38.742	0.062	29.896	0.213	0.911	90000.0
8	0.433	43.263	0.069	33.687	0.822	0.888	45000.0
9	0.393	39.315	0.063	30.217	0.28	0.91	15000.0
10	0.392	39.154	0.063	30.102	0.214	0.91	35000.0
