NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.668	66.803	0.109	49.902	0.546	0.779	25000.0
2	0.668	66.81	0.109	49.911	0.512	0.779	15000.0
3	0.665	66.509	0.109	49.738	0.546	0.78	25000.0
4	0.667	66.713	0.109	49.851	0.51	0.779	15000.0
5	0.66	65.979	0.108	49.515	0.514	0.782	15000.0
6	0.667	66.716	0.109	49.845	0.557	0.779	50000.0
7	0.66	65.968	0.108	49.493	0.539	0.782	35000.0
8	0.667	66.687	0.109	49.846	0.511	0.779	15000.0
9	0.66	65.981	0.108	49.515	0.553	0.782	80000.0
10	0.667	66.677	0.109	49.857	0.504	0.779	15000.0
