NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.669	66.856	0.109	50.226	0.464	0.773	25000.0
2	0.668	66.847	0.109	50.222	0.51	0.773	20000.0
3	0.662	66.203	0.109	49.938	0.462	0.775	30000.0
4	0.669	66.882	0.109	50.265	0.465	0.773	20000.0
5	0.669	66.888	0.109	50.244	0.464	0.773	25000.0
6	0.67	66.993	0.11	50.313	0.51	0.772	15000.0
7	0.67	66.98	0.11	50.296	0.507	0.772	25000.0
8	0.669	66.946	0.11	50.279	0.465	0.773	30000.0
9	0.662	66.216	0.109	49.944	0.465	0.775	35000.0
10	0.662	66.204	0.109	49.945	0.463	0.775	20000.0
