NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.062	25.25	0.04	98.421	0.114	0.757	20000.0
2	0.066	44.764	0.041	98.447	0.181	0.744	20000.0
3	0.059	15.397	0.037	3.711	0.082	0.765	20000.0
4	0.059	24.929	0.037	98.05	0.126	0.77	30000.0
5	0.058	43.995	0.037	98.044	0.22	0.787	40000.0
6	0.065	44.633	0.04	98.377	0.18	0.751	20000.0
7	0.057	5.689	0.035	3.53	0.051	0.756	20000.0
8	0.059	5.796	0.038	3.808	0.048	0.761	20000.0
9	0.056	24.666	0.035	97.912	0.111	0.781	20000.0
10	0.06	34.616	0.037	98.097	0.152	0.767	20000.0
