NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.391	39.125	0.06	29.052	0.223	0.917	15000.0
2	0.391	39.124	0.06	29.051	0.225	0.917	15000.0
3	0.391	39.124	0.06	29.053	0.223	0.917	15000.0
4	0.391	39.124	0.06	29.053	0.223	0.917	15000.0
5	0.391	39.119	0.06	29.063	0.22	0.917	15000.0
6	0.391	39.125	0.06	29.052	0.225	0.917	20000.0
7	0.391	39.124	0.06	29.053	0.223	0.917	15000.0
8	0.391	39.124	0.06	29.053	0.223	0.917	15000.0
9	0.391	39.123	0.06	29.053	0.223	0.917	15000.0
10	0.391	39.124	0.06	29.052	0.223	0.917	15000.0
