gene_KO	SBS96A_MMR_MLH1	SBS96B_HR	SBS96C_MMR_PMS2	SBS96D_BER_UNG	SBS96E_BER_OGG1	SBS96F_MMR_PMS1	SBS96G_Control	SBS96H_MMR_MSH2
ATP2B4	0.021786442856229802	0.030273449523180982	0.03328763867810391	0.10843736402835229	0.07006106661334352	0.10000182688505325	0.6282586528059588	0.007893558609777277
EXO1	4.046368699536661e-06	0.9451768931234789	0.013456926373690939	0.0037463912445107415	0.02322700687721156	0.006269392708858208	0.008119343303550105	3.8207336265987527e-81
RNF168	0.000255791727859391	0.875351268195595	0.016527729773716766	0.021135813863398713	0.02436085986660607	0.015194620686081238	0.032862105260286656	0.014311810626456098
UNG	0.02873118072376308	0.018876568304846783	0.014996491293123288	0.843314936420845	0.03452382610597833	0.03239758297470205	0.025116849282711254	0.0020425648940301257
OGG1	0.014804334057340801	0.0008764576943895698	0.013349735466086402	0.00011465913013409695	0.7898721447896343	0.022125053458087077	0.15784461275682296	0.0010130026475046732
MLH1	0.7199203354326589	0.10533509321741595	0.0638581105097118	0.04365094128266542	0.0017335398478709274	0.01697741289998878	0.0013130645490268557	0.0472115022606612
MSH2	0.637000959006554	0.02860203775635062	0.008217137470152647	0.04708492543469491	0.0004664558747378452	0.028783039007954293	0.007409562440158191	0.2424358830093974
MSH6	0.6417042754385847	0.0012414620150355735	0.16391073822923297	0.027812141583063266	0.006197535281595534	0.005607581600288116	0.0337999282100066	0.11972633764219312
PMS1	0.0714400384472694	0.005754872313822035	0.016948500465959557	0.04204416820847737	0.05648378712088161	0.7662558682049917	0.03556479955441408	0.005507965684184194
PMS2	0.02034786934600714	0.0037962429686688786	0.9170765629333321	0.010660006764244926	0.021274402576172562	0.011448929675574676	0.012361911126977584	0.003034074609022061
