gene_KO	SBS96A_MMR_MSH2	SBS96B_HR	SBS96C_MMR_PMS2	SBS96D_BER_UNG	SBS96E_Control	SBS96F_BER_OGG1	SBS96G_MMR_PMS1
ATP2B4	0.021041222163505183	0.014702028490190078	0.030470613596388627	0.052274117071024986	0.6930627546837178	0.1290331670928674	0.059416096902305815
EXO1	5.53e-322	0.8124004698098856	0.0028932800308676594	0.03352749715036937	0.13981250235438183	0.01130453579235877	6.171486213682234e-05
RNF168	4.9e-322	0.8027945804771058	0.0005514083671944347	0.029758881385285995	0.13033751739557095	0.024387091154353224	0.012170521220489504
UNG	0.026541683345105063	0.001827385184734625	0.010936399044700462	0.8613515473202392	0.04580607187438817	0.02899942186143236	0.024537491369399984
OGG1	0.018580745512611716	0.01087611534160539	0.014654233184317968	0.023261393768913726	0.08817969578203379	0.8247405554522697	0.019707260958247607
MLH1	0.6938267941619752	0.13462464588397668	0.08189448235130126	0.06471287161889445	0.0012728114347461072	0.0009567982523212916	0.022711596296784833
MSH2	0.7345048164989764	0.12079073319577334	0.02599946106745724	0.07740802776755049	0.01446671426362851	0.0002525055716244415	0.026577741634989365
MSH6	0.6459472646509792	0.02961412103449737	0.23141400150356317	0.031594932467376574	0.04915903330535635	0.005813567985468229	0.006457079052758946
PMS1	0.05002723838203584	0.0037967619057193637	0.004300393092873946	0.0847066616488882	0.030640122448550546	0.034485176265303404	0.7920436462566286
PMS2	4.3e-322	1.566063467327188e-272	0.9657280237994237	1.18e-321	0.013674800934954847	0.02059717526562138	2.1990042881250827e-89
