Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
OGG1_boot	0.00E+00	0.00E+00	3.33E-26	2.40E-01	3.67E-01	1.74E-01	8.44E-02	0.00E+00
OGG1_boot.1	0.00E+00	1.99E-01	8.98E-03	1.89E-01	2.22E-01	2.29E-01	0.00E+00	0.00E+00
OGG1_boot.2	0.00E+00	1.99E-01	0.00E+00	1.89E-01	2.00E-01	2.23E-01	0.00E+00	0.00E+00
OGG1_boot.3	0.00E+00	0.00E+00	3.33E-26	2.26E-01	3.56E-01	1.75E-01	8.96E-02	0.00E+00
OGG1_boot.4	2.39E-87	2.00E-01	9.03E-03	1.64E-01	1.88E-01	2.10E-01	0.00E+00	7.65E-13
OGG1_boot.5	0.00E+00	1.93E-01	9.90E-03	1.94E-01	2.06E-01	2.24E-01	0.00E+00	0.00E+00
OGG1_boot.6	0.00E+00	1.92E-01	1.07E-02	1.65E-01	1.98E-01	2.12E-01	0.00E+00	0.00E+00
OGG1_boot.7	0.00E+00	1.93E-01	8.62E-03	1.84E-01	2.01E-01	2.18E-01	0.00E+00	0.00E+00
OGG1_boot.8	0.00E+00	1.94E-01	1.21E-02	1.82E-01	1.96E-01	2.17E-01	0.00E+00	0.00E+00
OGG1_boot.9	0.00E+00	1.96E-01	1.12E-02	1.64E-01	1.96E-01	2.10E-01	0.00E+00	3.34E-135
OGG1_boot.10	0.00E+00	2.05E-01	0.00E+00	1.95E-01	2.06E-01	2.34E-01	0.00E+00	0.00E+00
OGG1_boot.11	0.00E+00	0.00E+00	3.33E-26	2.18E-01	3.41E-01	1.66E-01	8.95E-02	0.00E+00
OGG1_boot.12	0.00E+00	0.00E+00	3.33E-26	2.27E-01	3.53E-01	1.71E-01	8.73E-02	0.00E+00
OGG1_boot.13	0.00E+00	1.97E-01	4.96E-03	1.83E-01	2.11E-01	2.20E-01	0.00E+00	0.00E+00
OGG1_boot.14	0.00E+00	0.00E+00	3.33E-26	2.18E-01	2.41E-01	1.39E-01	9.04E-02	0.00E+00
OGG1_boot.15	0.00E+00	0.00E+00	0.00E+00	2.11E-01	3.24E-01	1.55E-01	9.38E-02	0.00E+00
