NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.649	64.914	0.105	48.336	0.559	0.79	15000.0
2	0.64	63.973	0.104	47.718	0.5	0.797	15000.0
3	0.64	63.973	0.104	47.717	0.52	0.797	55000.0
4	0.64	63.974	0.104	47.717	0.499	0.797	15000.0
5	0.649	64.913	0.105	48.336	0.559	0.79	15000.0
6	0.64	63.974	0.104	47.717	0.5	0.797	15000.0
7	0.64	63.974	0.104	47.717	0.519	0.797	45000.0
8	0.64	63.974	0.104	47.717	0.523	0.797	85000.0
9	0.649	64.913	0.105	48.336	0.561	0.79	15000.0
10	0.649	64.912	0.105	48.337	0.564	0.79	15000.0
