Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M	SBS96N	SBS96O	SBS96P	SBS96Q	SBS96R	SBS96S	SBS96T	SBS96U	SBS96V	SBS96W	SBS96X
BRCA_TCGA-3C-AAAU	0	7	2	4	2	1	0	0	3	2	0	0	3	0	3	4	2	2	0	5	0	5	1	0
BRCA_TCGA-3C-AALI	11	5	67	18	7	1	3	3	1	6	9	1	0	4	15	231	0	386	0	0	36	4	0	0
BRCA_TCGA-3C-AALJ	0	3	3	3	3	4	2	0	0	2	1	0	8	0	2	0	0	11	0	4	4	4	5	7
BRCA_TCGA-3C-AALK	2	1	1	10	4	5	0	1	2	0	3	0	2	0	2	7	3	6	0	0	3	5	2	5
BRCA_TCGA-4H-AAAK	0	3	5	2	2	3	0	0	0	4	2	0	1	0	0	0	3	0	0	0	0	1	3	4
BRCA_TCGA-5L-AAT0	1	7	26	0	4	1	0	0	0	0	3	0	1	0	59	92	0	79	0	0	6	0	0	0
BRCA_TCGA-5L-AAT1	41	8	139	20	6	4	0	0	0	0	18	0	0	0	128	758	0	780	0	0	84	0	0	0
BRCA_TCGA-5T-A9QA	0	2	0	12	4	5	0	3	3	0	2	0	2	0	6	2	0	0	0	1	1	2	4	4
BRCA_TCGA-A1-A0SB	0	1	1	0	6	1	0	0	1	3	0	0	1	0	0	0	0	0	0	0	0	2	0	0
BRCA_TCGA-A1-A0SD	0	2	2	3	7	0	0	0	0	3	2	1	4	0	0	2	1	1	0	0	2	3	7	0
BRCA_TCGA-A1-A0SE	0	2	3	1	0	1	0	0	0	2	1	0	2	0	5	5	6	0	0	0	6	0	2	0
BRCA_TCGA-A1-A0SF	1	5	3	1	0	0	0	0	0	1	1	0	0	0	9	34	0	7	1	0	1	0	0	0
BRCA_TCGA-A1-A0SG	0	2	6	2	3	1	0	0	0	2	0	0	2	0	3	0	3	2	0	0	0	2	3	4
BRCA_TCGA-A1-A0SH	6	5	1	5	0	0	0	1	1	3	1	0	4	0	16	41	0	38	0	1	1	11	0	3
BRCA_TCGA-A1-A0SI	6	2	16	4	2	1	2	1	0	3	0	0	4	1	17	71	0	144	0	0	4	0	0	0
BRCA_TCGA-A1-A0SJ	0	5	0	5	1	1	0	0	0	1	1	0	0	0	2	5	0	5	2	0	1	3	0	8
BRCA_TCGA-A1-A0SK	1	3	3	3	11	0	0	0	0	1	1	0	4	0	2	1	8	2	0	8	1	22	4	9
BRCA_TCGA-A1-A0SM	1	3	4	3	0	0	0	1	2	0	0	0	0	0	1	0	7	0	0	1	2	1	6	0
BRCA_TCGA-A1-A0SN	1	5	7	5	1	2	0	0	0	0	0	1	5	0	5	3	6	17	1	2	3	10	2	0
