NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.4	39.951	0.063	30.345	0.266	0.909	15000.0
2	0.399	39.929	0.063	30.318	0.284	0.909	105000.0
3	0.399	39.93	0.063	30.319	0.282	0.909	105000.0
4	0.4	39.952	0.063	30.326	0.28	0.909	105000.0
5	0.401	40.093	0.063	30.384	0.268	0.909	15000.0
6	0.447	44.677	0.069	34.016	2.348	0.884	15000.0
7	0.403	40.349	0.063	30.505	0.279	0.908	60000.0
8	0.404	40.358	0.063	30.517	0.26	0.908	15000.0
9	0.447	44.694	0.069	34.017	2.366	0.884	15000.0
10	0.403	40.349	0.063	30.504	0.28	0.908	65000.0
