NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.642	64.22	0.103	47.595	0.526	0.794	15000.0
2	0.642	64.22	0.103	47.595	0.53	0.794	15000.0
3	0.642	64.219	0.103	47.596	0.531	0.794	15000.0
4	0.642	64.221	0.103	47.595	0.524	0.794	15000.0
5	0.642	64.22	0.103	47.595	0.53	0.794	15000.0
6	0.642	64.22	0.103	47.595	0.537	0.794	20000.0
7	0.642	64.22	0.103	47.595	0.526	0.794	15000.0
8	0.642	64.221	0.103	47.595	0.525	0.794	15000.0
9	0.642	64.221	0.103	47.594	0.526	0.794	15000.0
10	0.642	64.221	0.103	47.595	0.558	0.794	25000.0
