gene_KO	SBS96A_HR	SBS96B_MMR_MSH6	SBS96C_MMR_MLH1	SBS96D_MMR_PMS2	SBS96E_BER_OGG1	SBS96F_BER_UNG	SBS96G_MMR_PMS1	SBS96H_Control	SBS96I_MMR_MSH2
ATP2B4	0.016983474316532902	0.0316016643452633	0.020900457980555825	0.0320116477667333	0.12322162382273077	0.08693393875957392	0.040984561491658404	0.645120311728903	0.0022423197880483974
EXO1	0.8734296570530646	0.001265210892203327	0.02409411099341673	0.03278372929053044	0.010092701166421197	0.03940066483625881	0.004016865555086495	0.009053439211136837	0.005863621001881342
RNF168	0.8193203939249679	0.011584141358663707	0.026765438170261155	0.028525495241877693	0.01707781605348745	0.04777531704704821	0.016026117730952742	0.019890193817930515	0.013035086654810466
UNG	0.0005176944999376591	0.015303355982250971	0.07421648390822118	0.01762184917516988	0.03504928783506592	0.7782849907215337	0.02655030349361515	0.019711371772446844	0.03274466261175854
OGG1	0.027097365044522963	0.01288966574629663	0.010470698327115311	0.01462366592803502	0.8018502242673047	0.01732502322218768	0.02291112476520422	0.08783855795760968	0.004993674741723743
MLH1	0.03329452827872301	0.0636679415035534	0.8229320902161017	0.029420709462021327	0.006142270689866781	0.01131846781771236	0.00836446865052013	0.002732934411996324	0.02212658896950484
MSH2	0.0031787486261246846	0.42408730177740706	0.20457007208704506	0.007341134260026371	0.00045792333772335416	0.011229490536089721	0.015053605627052696	0.0006885556921986069	0.3333931680563323
MSH6	0.009317313701946665	0.7742908161372448	0.05015869331665848	0.09613129007922289	0.00782437998437532	0.015039483013532508	0.00806495955069534	0.009702964924109584	0.029470099292214204
PMS1	0.00165931803016665	0.01578210425586669	0.03260301985133179	0.007913001777870536	0.03752723353137527	0.04089112908117818	0.8065702570601341	0.031626359484974484	0.025427576927102156
PMS2	0.004036823870139041	0.013806584209624523	0.001466435184903268	0.901154289431992	0.0203333853892349	0.02461042142899922	0.01159273570468174	0.022750074995292052	0.0002492497851331787
