Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
EXO1_0_real_train1	0.3538293021642195	0.005608818504792472	0.5823505445814163	0.03987646328584287	0.018334871463729033
OGG1_0_real_train1	0.028458546868052537	0.04886379061416442	0.008699785186192636	0.8764443379609002	0.037533539370690275
RNF168_0_real_train1	0.3386653159582262	2.77e-321	0.5418548859805412	0.0893465372635804	0.030133260797652342
UNG_0_real_train1	1.7306198466869112e-177	0.0554451976133883	0.7871979851828298	0.08351546493842209	0.07384135226535968
ATP2B4_0_real_train1	0.10860475416845385	1.705e-321	0.3461011624888357	0.30118562783654224	0.24410845550616816
ATP2B4_1_real_train1	0.09902189421483319	0.024568063427087578	0.09156566015638713	0.4001378907032441	0.3847064914984479
MLH1_0_real_train1	0.2995943018977572	0.6518617052645772	1.5029251490291604e-76	0.009894351262269644	0.03864964157539583
MSH2_0_real_train1	0.27599025356721935	0.6126358435240309	0.01648642520976251	0.014606787730041842	0.08028068996894541
MSH6_0_real_train1	0.3552114756809491	0.5823205528848836	7.016990625422353e-172	0.024019195547366017	0.03844877588680127
MSH6_1_real_train1	0.37112185229351413	0.5884978148969676	7.027428886889867e-168	0.04038033280951817	7.204073128546035e-234
PMS1_0_real_train1	0.03589082265393013	0.1181086351493877	0.012351044529317422	0.20452441593823525	0.6291250817291295
PMS2_0_real_train1	0.8111489938116183	0.08910910924233782	0.014424993741834714	0.038449443110152075	0.04686746009405692
EXO1_0_multinomial_train1	0.36947050776857077	1.3420693171412647e-83	0.5761986451872936	0.05433084704413548	2.87e-321
EXO1_0_multinomial_train1.1	0.34276958582602085	0.011935658432629904	0.5744585173142316	0.019207672466373425	0.051628565960744235
EXO1_0_multinomial_train1.2	0.37142252540962906	2.0944437433799674e-186	0.5786815190636858	0.02916260163970008	0.0207333538869852
EXO1_0_multinomial_train1.3	0.3164796762586468	0.010944603540237501	0.6229635319535488	0.044778816753245444	0.004833371494321532
EXO1_0_multinomial_train1.4	0.3379348425975795	2.194e-321	0.6329447498702514	0.02912040753216925	6.589095783865947e-105
EXO1_0_multinomial_train1.5	0.3117607807914025	2.2603681372372552e-47	0.5990358404550561	0.011817545682973937	0.07738583307056746
EXO1_0_multinomial_train1.6	0.3777051702935027	0.03038343091038385	0.5233666495611072	0.0685447492350063	2.36e-321
EXO1_0_multinomial_train1.7	0.33131293141926915	0.015850989750730203	0.610634307268523	0.0297306950461454	0.012471076515332134
EXO1_0_multinomial_train1.8	0.3863047985500639	0.004821812007694178	0.5622239389352786	0.03398068626638288	0.012668764240580326
EXO1_0_multinomial_train1.9	0.338292800336823	0.0015272589307323123	0.632025131319395	0.021357300245778907	0.006797509167270837
EXO1_0_multinomial_train1.10	0.335466905347486	0.006986766644218671	0.6019726096311762	0.03777594455861341	0.017797773818505773
EXO1_0_multinomial_train1.11	0.3182923697557261	0.011552023771330076	0.5568024546152645	0.04509450331993186	0.0682586485377476
EXO1_0_multinomial_train1.12	0.34732783753331165	0.01675875383098476	0.5311245897612482	0.06274404156374	0.04204477731071555
EXO1_0_multinomial_train1.13	0.376039421537251	5.500233807373802e-274	0.5693080238560266	0.02700389917544608	0.02764865543127639
EXO1_0_multinomial_train1.14	0.35833670383138055	3.464708872134998e-85	0.5853642222189576	0.029330107478686026	0.026968966470975866
EXO1_0_multinomial_train1.15	0.35065752346881307	0.02226678671756073	0.5910229376588982	0.024113723539191206	0.011939028615536584
EXO1_0_multinomial_train1.16	0.3777466876597123	0.0030782898266569947	0.579593153604558	0.03958186890907265	1.1000574974187225e-94
EXO1_0_multinomial_train1.17	0.3553453262282057	0.030956356979649807	0.5821601969815489	0.01919926678087011	0.012338853029725488
EXO1_0_multinomial_train1.18	0.35887665689359954	1.323694171122257e-115	0.5472060436614237	0.06765437693513704	0.02626292250983991
EXO1_0_multinomial_train1.19	0.3497526030837804	0.015344225412695782	0.5936106178378393	0.04129255366568443	9.151177992796212e-155
EXO1_0_multinomial_train1.20	0.3346330679496213	0.02035905748850592	0.5959063181992881	0.049101556362584745	1.2258512973482723e-83
EXO1_0_multinomial_train1.21	0.3421154953155957	0.04580755022240182	0.5726593528663693	0.03941760159563321	5.754564777199423e-126
EXO1_0_multinomial_train1.22	0.32253598874022	0.019514133772754974	0.5601979114800997	0.040867442048416046	0.056884523958509334
EXO1_0_multinomial_train1.23	0.306961424658901	4.617483404590492e-226	0.6300855365999232	0.018848924831047806	0.04410411391012792
EXO1_0_multinomial_train1.24	0.34690520783234674	0.01701033612022778	0.5999615018246374	0.03612295422278822	1.82257e-317
EXO1_0_multinomial_train1.25	0.35937867294481124	0.00581788685119912	0.5584574279449429	0.020670343089225544	0.055675669169821196
EXO1_0_multinomial_train1.26	0.3635904225905205	4.377712762633941e-09	0.5697665982554081	0.024543639618664046	0.042099335157694415
EXO1_0_multinomial_train1.27	0.3231587490035843	0.026966723880524443	0.6257881958641374	0.02408633125175386	6.879336365556516e-260
EXO1_0_multinomial_train1.28	0.3388098164596091	0.036606481394106105	0.531347202372527	0.016023370250071212	0.07721312952368665
EXO1_0_multinomial_train1.29	0.3740689047827166	9.679196541777471e-102	0.5611222596125273	0.010814046730019981	0.05399478887473633
EXO1_0_multinomial_train1.30	0.3622555185176912	0.03275022581602807	0.5495026358748586	0.0554916197914222	1.376579295854277e-189
EXO1_0_multinomial_train1.31	0.36762756866355034	3.604856796789919e-196	0.6028658140598018	0.028887246272248264	0.00061937100439953
EXO1_0_multinomial_train1.32	0.35065411637421506	3.97e-321	0.6190888604665227	0.030257023159262375	2.134e-321
EXO1_0_multinomial_train1.33	0.3647407606311564	0.020000647523746123	0.551219342411702	0.05280159549525343	0.011237653938141993
EXO1_0_multinomial_train1.34	0.31525775787290294	0.005532656547877582	0.6197175382136032	0.036137366107709575	0.023354681257906656
EXO1_0_multinomial_train1.35	0.33575880581507545	0.023432870110575082	0.566299181625924	0.048185813359502644	0.02632332908892292
EXO1_0_multinomial_train1.36	0.3639863346071344	0.0037776626644679366	0.5580602963434886	0.04035127462269618	0.03382443176221295
EXO1_0_multinomial_train1.37	0.3381919473669413	0.025960442775435695	0.5427117117976235	0.061989186338384135	0.031146711721615483
EXO1_0_multinomial_train1.38	0.3879346909865926	3.636e-321	0.5659648723335935	0.03292851489076032	0.013171921789053418
EXO1_0_multinomial_train1.39	0.37425635247764033	2.945e-321	0.5873057187438002	0.038437928775997	2.562462944166684e-12
EXO1_0_multinomial_train1.40	0.3463243610727493	1.18e-321	0.5645027204619999	0.03541469921140001	0.0537582192538508
EXO1_0_multinomial_train1.41	0.3300683880100681	5.218646664511747e-242	0.6194906016873525	0.03587813178729473	0.014562878515284655
EXO1_0_multinomial_train1.42	0.3415476778699462	2.79e-321	0.5763511535633403	0.034966328465511023	0.047134840101202426
EXO1_0_multinomial_train1.43	0.3937101877568836	0.011918788755687325	0.5657714867853718	0.02859953670205721	1.2968890486377754e-293
EXO1_0_multinomial_train1.44	0.3556433252333266	0.013108026350290465	0.5706978044068063	0.030617110412122586	0.02993373359745403
EXO1_0_multinomial_train1.45	0.3633621116281529	0.03493175391731136	0.5394981104856221	0.06220802393128022	3.763348168105916e-11
EXO1_0_multinomial_train1.46	0.37183617058858487	0.0243879832874588	0.5446224548019103	0.05915339132204599	1.1469208002163122e-99
EXO1_0_multinomial_train1.47	0.37578398640331323	1.245e-321	0.551110215030769	0.03907033302467272	0.0340354655412451
EXO1_0_multinomial_train1.48	0.35623505064911204	0.04882128490126294	0.5575514009893702	0.03739226346025488	2.11e-321
EXO1_0_multinomial_train1.49	0.3080127358160105	3.473e-321	0.5880646599494803	0.06399023187792993	0.039932372356579156
EXO1_0_multinomial_train1.50	0.33453600259270133	0.0009776222395122614	0.6287699062060998	0.035716468961686496	1.4237651489275635e-77
EXO1_0_multinomial_train1.51	0.35866656376915307	3.23091788970171e-226	0.6049592982640047	0.03637413796684205	6.598985972053576e-239
EXO1_0_multinomial_train1.52	0.38797911763571846	3.43e-321	0.5535893505147658	0.040939308510338536	0.01749222333917724
EXO1_0_multinomial_train1.53	0.3489770977773669	2.036e-321	0.5673990228066499	0.030778932581802036	0.05284494683418116
