gene_KO	SBS96A_MMR	SBS96B_HR	SBS96C_BER_UNG	SBS96D_BER_OGG1	SBS96E_Control
ATP2B4	0.020463296160411332	0.06311192237351547	0.2228083693354859	0.31012439292197136	0.38349201920861586
EXO1	0.3508007057040151	0.2480465906858584	0.3415375076634494	0.02981862985232555	0.02979656609435137
RNF168	0.19535715920813387	0.534315511360301	0.2125435279029327	0.020202705306817555	0.037581096221814804
UNG	0.06885494015826786	0.03502248290362231	0.8654018839732369	0.01927845011698582	0.011442242847886929
OGG1	0.016466951244532926	0.01134004697114048	0.014640028013262987	0.9123689227641253	0.045184051006938356
MLH1	0.7136442141032031	0.28311412124111784	0.0032416646556790475	2.03e-322	8.5e-322
MSH2	0.6484843207743203	0.34977771009592007	0.001737969129759675	1.7e-322	7.46e-322
MSH6	0.7385153361503658	0.2608345202666388	0.0006501435829953608	2.87e-322	3.9890465656743065e-241
PMS1	0.043755418782767605	0.05973195465655324	0.06094140817105835	0.019961680423360793	0.8156095379662599
PMS2	0.9696338480767966	8.9e-322	7.36e-322	0.030366151923203286	5.538294192141874e-51
