Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I
EXO1_0_real_train1	1.58E-01	1.00E-26	3.26E-02	6.48E-02	1.00E-26	6.48E-02	1.00E-26	6.10E-02	1.02E-01
OGG1_0_real_train1	6.64E-03	9.05E-03	9.71E-03	5.13E-03	6.70E-03	7.11E-03	1.69E-02	1.97E-03	7.47E-03
RNF168_0_real_train1	1.54E-01	3.49E-02	0.00E+00	5.63E-02	5.50E-03	8.06E-02	1.02E-01	7.36E-02	9.97E-02
UNG_0_real_train1	2.79E-03	7.44E-90	0.00E+00	1.43E-02	1.75E-02	2.12E-02	1.67E-15	1.52E-02	4.44E-02
ATP2B4_0_real_train1	1.53E-02	2.16E-02	9.18E-03	1.17E-02	2.72E-02	3.21E-02	3.98E-02	3.77E-02	9.30E-03
ATP2B4_1_real_train1	1.50E-70	2.43E-02	1.29E-02	7.86E-03	3.76E-02	2.44E-02	4.06E-02	5.66E-02	1.18E-02
MLH1_0_real_train1	9.97E-73	7.99E-64	1.00E-01	3.34E-02	3.68E-03	1.86E-24	4.03E-03	4.34E-53	7.33E-02
MSH2_0_real_train1	4.33E-02	1.39E-01	9.92E-02	5.92E-12	1.83E-03	3.78E-02	1.12E-03	4.51E-03	1.60E-01
MSH6_0_real_train1	1.92E-89	1.40E-01	2.46E-34	5.34E-02	5.77E-04	7.78E-130	1.19E-02	5.55E-15	1.02E-01
MSH6_1_real_train1	0.00E+00	1.42E-01	7.66E-87	5.51E-02	2.64E-03	0.00E+00	9.77E-03	6.07E-158	1.02E-01
PMS1_0_real_train1	2.73E-03	4.33E-108	2.37E-02	5.35E-03	4.47E-03	7.84E-09	6.93E-02	6.51E-02	3.89E-73
PMS2_0_real_train1	1.04E-02	2.78E-03	1.56E-24	1.24E-02	3.87E-03	6.97E-03	1.31E-02	1.03E-02	3.95E-03
EXO1_0_multinomial_train1	1.58E-01	1.00E-26	3.21E-02	6.33E-02	1.00E-26	6.46E-02	1.00E-26	6.26E-02	1.01E-01
EXO1_0_multinomial_train1.1	1.56E-01	2.36E-04	3.31E-02	6.43E-02	1.00E-26	6.44E-02	1.00E-26	6.04E-02	1.01E-01
EXO1_0_multinomial_train1.2	1.57E-01	1.00E-26	3.31E-02	6.26E-02	1.00E-26	6.61E-02	1.00E-26	6.52E-02	1.01E-01
EXO1_0_multinomial_train1.3	1.61E-01	1.00E-26	3.23E-02	6.53E-02	1.00E-26	6.28E-02	1.00E-26	5.73E-02	1.04E-01
EXO1_0_multinomial_train1.4	1.58E-01	1.00E-26	3.86E-02	7.28E-02	1.00E-26	6.87E-02	1.00E-26	6.85E-02	1.01E-01
EXO1_0_multinomial_train1.5	1.59E-01	1.00E-26	3.24E-02	7.03E-02	1.00E-26	6.45E-02	2.92E-07	5.67E-02	1.02E-01
EXO1_0_multinomial_train1.6	1.57E-01	1.00E-26	3.26E-02	6.59E-02	1.59E-04	7.15E-02	1.00E-26	6.45E-02	1.01E-01
EXO1_0_multinomial_train1.7	1.55E-01	1.00E-26	3.32E-02	7.54E-02	1.00E-26	7.25E-02	1.00E-26	7.06E-02	9.92E-02
EXO1_0_multinomial_train1.8	1.58E-01	1.00E-26	3.38E-02	5.83E-02	1.00E-26	6.39E-02	1.00E-26	6.38E-02	1.02E-01
EXO1_0_multinomial_train1.9	1.60E-01	1.00E-26	3.36E-02	6.77E-02	1.00E-26	6.61E-02	1.00E-26	6.25E-02	1.03E-01
