NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.118	78.536	0.063	100.672	0.46	0.492	30000.0
2	0.115	78.237	0.061	100.491	0.434	0.507	30000.0
3	0.116	78.342	0.062	100.578	0.466	0.496	20000.0
4	0.116	87.936	0.062	100.618	0.542	0.515	20000.0
5	0.107	77.5	0.058	100.191	0.452	0.552	40000.0
6	0.121	69.299	0.066	195.422	0.409	0.467	30000.0
7	0.118	78.6	0.064	100.752	0.395	0.481	20000.0
8	0.116	78.349	0.062	100.589	0.473	0.498	20000.0
9	0.111	87.403	0.059	100.31	0.52	0.539	20000.0
10	0.115	87.823	0.062	100.548	0.498	0.511	20000.0
