NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.081	55.753	0.047	99.078	0.23	0.679	30000.0
2	0.086	56.245	0.048	99.242	0.256	0.648	20000.0
3	0.082	55.909	0.047	99.112	0.229	0.665	20000.0
4	0.08	65.22	0.045	98.934	0.27	0.685	20000.0
5	0.079	55.632	0.046	98.979	0.228	0.683	20000.0
6	0.095	57.205	0.056	100.031	0.253	0.622	30000.0
7	0.086	56.289	0.05	99.351	0.239	0.657	20000.0
8	0.083	36.861	0.049	99.288	0.185	0.662	40000.0
9	0.083	27.322	0.051	99.488	0.139	0.657	30000.0
10	0.083	36.829	0.049	99.302	0.179	0.665	30000.0
