NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	99.06	60.704	17.157	41.7	0.502	0.849	100000.0
2	94.275	58.054	16.061	39.924	0.491	0.86	100000.0
3	100.803	61.825	17.698	42.93	0.498	0.842	90000.0
4	93.644	56.94	16.032	39.165	0.485	0.867	70000.0
5	92.007	56.885	15.843	39.934	0.494	0.861	80000.0
6	97.574	58.256	16.794	39.574	0.484	0.865	70000.0
7	94.473	57.017	16.318	39.475	0.488	0.864	40000.0
8	97.695	59.768	16.91	41.335	0.498	0.852	90000.0
9	93.091	57.43	15.83	39.926	0.488	0.861	50000.0
10	96.27	58.275	16.592	40.369	0.49	0.858	50000.0
