NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	121.607	71.365	21.36	47.522	0.604	0.804	40000.0
2	124.718	71.543	22.643	47.294	0.601	0.806	70000.0
3	123.944	69.629	22.782	45.889	0.591	0.819	50000.0
4	119.436	68.547	20.787	45.353	0.591	0.822	50000.0
5	125.376	71.649	22.823	47.53	0.597	0.805	60000.0
6	120.722	70.567	21.178	47.055	0.593	0.808	80000.0
7	126.236	71.864	23.007	47.826	0.602	0.802	50000.0
8	120.061	70.967	20.821	47.252	0.608	0.805	40000.0
9	121.308	70.589	21.312	47.057	0.599	0.807	30000.0
10	120.4	68.955	20.993	45.866	0.596	0.817	70000.0
