Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I
OGG1_boot	0.05707550987854739	5.369894557465124e-31	0.11609669189405553	2.2193938528237702e-138	0.826827798227397	9.411076552352011e-96	1.513505497941694e-97	4.086264091332794e-153	6.1863404015262205e-121
OGG1_boot.1	1.2052027934051363e-106	3.585013139964466e-14	0.09140981922200896	2.902170395799139e-76	0.6879200102666229	0.22067017051133245	9.005859488256041e-60	8.965983865781643e-88	8.13992434346164e-108
OGG1_boot.2	1.2788695150015177e-25	0.1269584496956982	0.028293412518303526	0.012424448993961848	0.7247352511219538	6.400725054987657e-32	1.1719060079711936e-06	3.5604098587909163e-22	0.10758726576407487
OGG1_boot.3	3.055146933562967e-23	1.8949546778228505e-15	0.05226107647939082	0.07199224415183932	0.6974318287707337	8.743066111289039e-08	0.17591685069888457	0.002397912468487842	7.763690538647563e-16
OGG1_boot.4	1.2436595054734632e-13	1.2676728549675034e-32	0.007998522858759606	0.07302698990375903	0.5927654329415049	1.3211565189285084e-37	0.17856204012361174	1.340120611279008e-12	0.14764701417090037
OGG1_boot.5	0.13260070120581147	5.875159344997728e-90	0.09842524797957042	1.8899510460127018e-27	0.7689589975916107	1.24734559423763e-06	1.3805877413297265e-05	5.434119278438634e-30	8.036828144650217e-23
OGG1_boot.6	0.10578456066449801	0.09823478693757479	0.061801820221112705	1.776519170253712e-27	0.7128184457092317	8.162152436923018e-05	0.02127876494086184	1.2576690087801512e-24	2.351674763002771e-12
OGG1_boot.7	0.06883504215597579	0.019128444877330064	0.06866931925466235	1.1034834834860173e-17	0.7326057238763446	4.779074013049282e-08	0.08877568783946681	0.02120926614224715	0.0007764680632329986
OGG1_boot.8	3.567395288382713e-90	0.04200618305934401	0.047198383739032866	3.436131534302472e-17	0.6754759492979342	1.2695664285495164e-41	1.2824443557766682e-19	4.5293533640118943e-13	0.23531948390323595
OGG1_boot.9	6.959776906477315e-84	0.0564480322161344	5.0984176404501024e-05	0.0006729349834710688	0.6324756283021175	7.969769689686168e-10	0.06264247934697495	0.24770994017792053	1.5233626589859596e-18
OGG1_boot.10	1.8052757496800874e-42	0.004645899710227157	0.032200989567806	3.178819456963571e-13	0.6763746319528563	0.2856217045116183	2.9053983426094685e-18	1.3962803639488018e-05	0.0011428114535349482
OGG1_boot.11	3.88482247253178e-22	0.01121538436014595	1.6765634404159686e-197	0.18863724844366	0.6234419153227599	6.853398142216577e-06	0.0007435360540520562	1.5686719221757375e-14	0.17595506242122425
OGG1_boot.12	0.0689426182593531	0.005029139924161731	0.060910113097341935	5.202187438007738e-16	0.7411296274430752	2.227898726963991e-09	0.12398849897076931	3.0061283074182444e-11	4.73382461190217e-11
OGG1_boot.13	4.082577955090094e-34	0.11927317753573778	0.06057439308226001	1.5696769259577348e-57	0.7133626593298344	0.10678977005216776	2.3913330950169227e-36	2.6029430756623568e-42	1.1902182949549247e-56
OGG1_boot.14	4.249589667950842e-08	1.2362978522371186e-58	0.03396308546078898	5.197231190817082e-10	0.5881631180926374	0.2433955960182188	0.13447713718885518	7.608613893716421e-25	1.0202238799017374e-06
OGG1_boot.15	4.793286929599775e-30	0.03512456644849576	0.038088488845223735	0.18962997339155246	0.5946731276625077	4.554836258924837e-16	2.426330275090314e-12	5.366563420218015e-16	0.14248384364979325
