Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
BRCA_TCGA-3C-AAAU	0.00E+00	1.21E+00	0.00E+00	1.83E+00	2.04E+00	1.29E+00
BRCA_TCGA-3C-AALI	5.00E+00	2.18E+00	1.64E+00	1.56E+00	6.61E+00	4.60E+00
BRCA_TCGA-3C-AALJ	2.13E-01	1.29E+00	1.75E+00	1.71E+00	3.49E+00	2.35E+00
BRCA_TCGA-3C-AALK	6.29E-01	1.05E+00	1.68E+00	1.12E+00	2.61E+00	1.87E+00
BRCA_TCGA-4H-AAAK	6.67E-01	1.27E+00	1.03E+00	1.29E+00	1.36E+00	3.00E-01
BRCA_TCGA-5L-AAT0	6.40E-01	2.54E+00	1.10E+00	8.72E-01	3.16E+00	2.07E+00
BRCA_TCGA-5L-AAT1	4.59E+00	2.75E+00	2.97E+00	1.00E-01	1.90E+00	5.23E+00
BRCA_TCGA-5T-A9QA	0.00E+00	1.36E+00	1.31E+00	6.01E-01	2.04E+00	1.49E+00
BRCA_TCGA-A1-A0SB	3.07E-01	5.78E-01	4.07E-01	5.73E-01	7.63E-01	6.71E-01
BRCA_TCGA-A1-A0SD	2.00E-01	1.04E+00	3.06E-01	1.49E+00	2.96E+00	1.04E+00
BRCA_TCGA-A1-A0SE	1.23E+00	6.46E-01	1.19E+00	1.10E+00	1.30E+00	1.16E+00
BRCA_TCGA-A1-A0SF	8.75E-01	1.29E+00	3.07E-01	7.19E-01	8.79E-01	1.85E+00
BRCA_TCGA-A1-A0SG	9.80E-01	9.45E-01	0.00E+00	7.31E-01	1.63E+00	8.62E-01
BRCA_TCGA-A1-A0SH	7.30E-01	1.18E+00	2.10E+00	1.32E+00	2.37E+00	2.56E+00
BRCA_TCGA-A1-A0SI	1.63E+00	9.00E-01	1.40E+00	1.31E+00	1.80E+00	2.10E+00
BRCA_TCGA-A1-A0SJ	0.00E+00	8.88E-01	6.33E-01	4.42E-01	2.04E+00	1.69E+00
BRCA_TCGA-A1-A0SK	5.78E-01	1.20E+00	2.20E+00	1.23E+00	5.71E+00	3.37E+00
BRCA_TCGA-A1-A0SM	9.83E-01	9.55E-01	8.98E-01	1.01E+00	1.80E+00	1.00E-01
BRCA_TCGA-A1-A0SN	1.46E+00	1.68E+00	2.21E-01	1.33E+00	2.53E+00	1.93E+00
BRCA_TCGA-A1-A0SO	2.32E+00	1.36E+00	3.62E+00	5.87E+00	1.65E+01	9.96E+00
BRCA_TCGA-A1-A0SP	0.00E+00	2.16E+00	2.82E+00	1.39E+00	2.04E+00	1.47E+00
BRCA_TCGA-A2-A04N	8.69E-01	6.70E-01	1.93E+00	1.10E+00	1.63E+00	1.39E+00
BRCA_TCGA-A2-A04R	1.30E+00	1.22E+00	1.97E+00	9.66E-01	2.80E+00	4.25E+00
BRCA_TCGA-A2-A04U	4.07E-01	1.32E+00	3.89E-01	1.03E+00	4.28E+00	2.68E+00
BRCA_TCGA-A2-A04W	1.27E+00	7.52E-01	1.81E+00	1.99E+00	1.51E+00	2.59E+00
BRCA_TCGA-A2-A0CK	0.00E+00	1.10E+00	8.57E-01	5.73E-01	1.06E+00	8.49E-01
BRCA_TCGA-A2-A0CL	2.00E-01	1.19E+00	8.46E-01	1.15E+00	1.80E+00	1.42E+00
BRCA_TCGA-A2-A0CR	7.22E-01	9.57E-01	4.00E-01	1.27E+00	2.09E+00	1.69E+00
BRCA_TCGA-A2-A0CS	0.00E+00	1.38E+00	9.89E-01	1.94E+00	2.59E+00	6.80E-01
BRCA_TCGA-A2-A0CV	1.00E-01	6.46E-01	6.90E-01	1.42E+00	1.45E+00	4.96E-01
BRCA_TCGA-A2-A0CW	1.22E+00	1.04E+00	9.80E-01	8.17E-01	2.31E+00	2.86E+00
BRCA_TCGA-A2-A0D3	5.93E-01	8.27E-01	6.29E-01	4.01E-01	1.39E+00	4.77E-01
BRCA_TCGA-A2-A0EN	0.00E+00	1.29E+00	1.16E+00	1.44E+00	2.20E+00	8.49E-01
BRCA_TCGA-A2-A0EP	0.00E+00	3.35E-01	7.31E-01	6.70E-01	4.77E-01	5.04E-01
BRCA_TCGA-A2-A0ES	0.00E+00	9.45E-01	1.13E+00	5.26E-01	1.44E+00	4.48E-01
BRCA_TCGA-A2-A0EW	7.52E-01	1.20E+00	1.44E+00	9.12E-01	1.63E+00	2.67E-01
