NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	120.849	70.643	21.312	47.165	0.587	0.807	120000.0
2	119.74	70.523	21.156	47.092	0.59	0.808	80000.0
3	117.576	69.313	20.564	46.392	0.586	0.813	40000.0
4	117.697	67.387	21.487	45.047	0.575	0.824	110000.0
5	116.123	68.74	20.028	45.856	0.595	0.816	60000.0
6	115.75	68.915	20.064	46.068	0.587	0.815	120000.0
7	116.763	68.39	20.446	45.957	0.588	0.815	90000.0
8	116.618	69.353	20.2	46.384	0.594	0.812	70000.0
9	115.205	67.471	20.015	44.824	0.588	0.824	60000.0
10	117.357	66.902	21.365	44.619	0.575	0.828	40000.0
