Samples	SBS96A	SBS96B	SBS96C
EXO1_0_real_train1	8.55E-27	2.07E-02	9.00E-27
OGG1_0_real_train1	2.84E-02	1.03E-01	4.79E-01
RNF168_0_real_train1	6.40E-02	8.59E-02	1.32E-01
UNG_0_real_train1	1.59E-01	1.47E-01	3.50E-18
ATP2B4_0_real_train1	9.19E-02	9.57E-02	9.73E-02
ATP2B4_1_real_train1	1.00E-01	1.19E-01	1.13E-01
MLH1_0_real_train1	1.30E-01	7.67E-04	1.33E-26
MSH2_0_real_train1	9.75E-03	1.00E-26	9.04E-27
MSH6_0_real_train1	8.81E-42	1.19E-01	1.33E-26
MSH6_1_real_train1	8.81E-42	1.20E-01	1.33E-26
PMS1_0_real_train1	1.41E-01	1.08E-01	1.14E-02
PMS2_0_real_train1	5.12E-03	1.27E-01	2.54E-03
EXO1_0_multinomial_train1	8.53E-27	2.15E-02	8.90E-27
EXO1_0_multinomial_train1.1	8.63E-27	1.97E-02	9.14E-27
EXO1_0_multinomial_train1.2	8.68E-27	1.96E-02	9.10E-27
EXO1_0_multinomial_train1.3	8.33E-27	2.22E-02	8.83E-27
EXO1_0_multinomial_train1.4	8.76E-27	1.94E-02	9.13E-27
EXO1_0_multinomial_train1.5	8.52E-27	2.01E-02	9.10E-27
EXO1_0_multinomial_train1.6	8.55E-27	2.16E-02	8.89E-27
EXO1_0_multinomial_train1.7	8.75E-27	1.93E-02	9.16E-27
EXO1_0_multinomial_train1.8	8.63E-27	2.01E-02	9.06E-27
EXO1_0_multinomial_train1.9	8.71E-27	1.94E-02	9.12E-27
EXO1_0_multinomial_train1.10	8.45E-27	2.13E-02	8.94E-27
EXO1_0_multinomial_train1.11	8.32E-27	2.21E-02	8.88E-27
EXO1_0_multinomial_train1.12	8.32E-27	2.26E-02	8.81E-27
EXO1_0_multinomial_train1.13	8.69E-27	1.96E-02	9.14E-27
EXO1_0_multinomial_train1.14	8.69E-27	1.96E-02	9.12E-27
EXO1_0_multinomial_train1.15	8.71E-27	1.94E-02	9.14E-27
EXO1_0_multinomial_train1.16	8.66E-27	2.01E-02	9.05E-27
EXO1_0_multinomial_train1.17	8.75E-27	1.89E-02	9.19E-27
EXO1_0_multinomial_train1.18	8.32E-27	2.28E-02	8.76E-27
EXO1_0_multinomial_train1.19	8.61E-27	2.05E-02	8.99E-27
EXO1_0_multinomial_train1.20	8.54E-27	2.11E-02	8.94E-27
EXO1_0_multinomial_train1.21	8.78E-27	1.93E-02	9.14E-27
EXO1_0_multinomial_train1.22	8.26E-27	2.22E-02	8.82E-27
EXO1_0_multinomial_train1.23	8.61E-27	2.01E-02	9.13E-27
EXO1_0_multinomial_train1.24	8.61E-27	2.04E-02	9.01E-27
EXO1_0_multinomial_train1.25	8.62E-27	1.97E-02	9.13E-27
EXO1_0_multinomial_train1.26	8.55E-27	2.03E-02	9.05E-27
EXO1_0_multinomial_train1.27	8.78E-27	1.90E-02	9.20E-27
EXO1_0_multinomial_train1.28	8.47E-27	2.05E-02	9.03E-27
EXO1_0_multinomial_train1.29	8.78E-27	1.85E-02	9.21E-27
EXO1_0_multinomial_train1.30	8.63E-27	2.07E-02	8.99E-27
EXO1_0_multinomial_train1.31	8.77E-27	1.92E-02	9.14E-27
EXO1_0_multinomial_train1.32	8.68E-27	2.03E-02	9.01E-27
EXO1_0_multinomial_train1.33	8.37E-27	2.20E-02	8.82E-27
EXO1_0_multinomial_train1.34	8.43E-27	2.14E-02	8.95E-27
EXO1_0_multinomial_train1.35	8.42E-27	2.16E-02	8.94E-27
EXO1_0_multinomial_train1.36	8.66E-27	2.01E-02	9.05E-27
EXO1_0_multinomial_train1.37	8.25E-27	2.30E-02	8.78E-27
EXO1_0_multinomial_train1.38	8.63E-27	2.02E-02	9.04E-27
EXO1_0_multinomial_train1.39	8.65E-27	2.02E-02	9.05E-27
EXO1_0_multinomial_train1.40	8.38E-27	2.18E-02	8.88E-27
EXO1_0_multinomial_train1.41	8.57E-27	2.06E-02	9.06E-27
EXO1_0_multinomial_train1.42	8.40E-27	2.16E-02	8.90E-27
EXO1_0_multinomial_train1.43	8.92E-27	1.83E-02	9.22E-27
EXO1_0_multinomial_train1.44	8.58E-27	2.02E-02	9.06E-27
EXO1_0_multinomial_train1.45	8.46E-27	2.17E-02	8.87E-27
EXO1_0_multinomial_train1.46	8.51E-27	2.15E-02	8.88E-27
EXO1_0_multinomial_train1.47	8.55E-27	2.09E-02	8.96E-27
EXO1_0_multinomial_train1.48	8.62E-27	2.03E-02	9.02E-27
EXO1_0_multinomial_train1.49	8.13E-27	2.36E-02	8.70E-27
EXO1_0_multinomial_train1.50	8.63E-27	2.03E-02	9.05E-27
EXO1_0_multinomial_train1.51	8.69E-27	2.00E-02	9.05E-27
EXO1_0_multinomial_train1.52	8.64E-27	2.03E-02	9.04E-27
EXO1_0_multinomial_train1.53	8.51E-27	2.08E-02	8.97E-27
EXO1_0_multinomial_train1.54	8.33E-27	2.29E-02	8.76E-27
EXO1_0_multinomial_train1.55	8.56E-27	2.07E-02	9.00E-27
EXO1_0_multinomial_train1.56	8.85E-27	1.84E-02	9.23E-27
EXO1_0_multinomial_train1.57	8.50E-27	2.12E-02	8.97E-27
EXO1_0_multinomial_train1.58	8.64E-27	1.94E-02	9.14E-27
EXO1_0_multinomial_train1.59	8.54E-27	2.02E-02	9.07E-27
EXO1_0_multinomial_train1.60	8.40E-27	2.20E-02	8.84E-27
EXO1_0_multinomial_train1.61	8.58E-27	2.06E-02	9.02E-27
