NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	105.955	63.697	18.472	43.49	0.53	0.836	90000.0
2	107.819	65.099	18.873	44.466	0.528	0.829	120000.0
3	105.486	63.606	18.407	43.473	0.52	0.837	90000.0
4	107.114	64.17	18.69	43.639	0.525	0.836	70000.0
5	101.041	61.364	17.311	41.938	0.533	0.847	70000.0
6	103.784	62.614	17.982	42.941	0.523	0.841	90000.0
7	105.234	63.814	18.417	43.676	0.528	0.835	110000.0
8	107.403	65.252	18.748	44.393	0.536	0.828	110000.0
9	98.185	59.753	16.668	40.959	0.522	0.853	120000.0
10	99.49	59.829	16.87	40.832	0.515	0.855	60000.0
