NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.407	40.657	0.064	30.889	0.253	0.906	15000.0
2	0.407	40.689	0.064	30.896	0.261	0.906	15000.0
3	0.403	40.276	0.063	30.702	0.256	0.907	15000.0
4	0.403	40.274	0.063	30.704	0.256	0.907	15000.0
5	0.403	40.275	0.063	30.705	0.255	0.907	15000.0
6	0.403	40.267	0.063	30.676	0.255	0.908	15000.0
7	0.407	40.684	0.064	30.893	0.265	0.906	15000.0
8	0.407	40.685	0.064	30.894	0.262	0.906	15000.0
9	0.407	40.685	0.064	30.899	0.255	0.906	15000.0
10	0.407	40.687	0.064	30.9	0.262	0.906	15000.0
11	0.453	45.317	0.071	34.854	3.409	0.879	15000.0
12	0.407	40.691	0.064	30.907	0.265	0.906	15000.0
13	0.407	40.685	0.064	30.897	0.263	0.906	15000.0
14	0.407	40.682	0.064	30.892	0.263	0.906	15000.0
15	0.407	40.685	0.064	30.896	0.267	0.906	15000.0
16	0.407	40.69	0.064	30.903	0.284	0.906	15000.0
17	0.453	45.299	0.071	34.833	2.586	0.879	15000.0
18	0.403	40.274	0.063	30.701	0.26	0.907	15000.0
19	0.403	40.285	0.063	30.701	0.266	0.907	15000.0
20	0.405	40.516	0.064	30.808	0.256	0.907	15000.0
21	0.403	40.284	0.063	30.713	0.26	0.907	15000.0
22	0.407	40.671	0.064	30.88	0.249	0.906	15000.0
23	0.407	40.685	0.064	30.893	0.258	0.906	15000.0
24	0.407	40.686	0.064	30.899	0.268	0.906	15000.0
25	0.405	40.532	0.064	30.815	0.265	0.907	15000.0
26	0.407	40.708	0.064	30.915	0.295	0.906	15000.0
27	0.54	53.954	0.084	45.438	198.62	0.841	15000.0
28	0.407	40.687	0.064	30.9	0.256	0.906	15000.0
29	0.403	40.273	0.063	30.701	0.259	0.907	15000.0
30	0.407	40.691	0.064	30.904	0.259	0.906	15000.0
31	0.407	40.688	0.064	30.896	0.257	0.906	15000.0
32	0.407	40.686	0.064	30.904	0.283	0.906	15000.0
33	0.402	40.238	0.063	30.752	0.298	0.907	15000.0
34	0.407	40.686	0.064	30.899	0.258	0.906	15000.0
35	0.407	40.692	0.064	30.902	0.258	0.906	15000.0
36	0.407	40.693	0.064	30.908	0.26	0.906	15000.0
37	0.403	40.276	0.063	30.702	0.258	0.907	15000.0
38	0.407	40.686	0.064	30.898	0.262	0.906	15000.0
39	0.403	40.274	0.063	30.705	0.26	0.907	15000.0
40	0.407	40.683	0.064	30.894	0.26	0.906	15000.0
41	0.403	40.28	0.063	30.708	0.261	0.907	15000.0
42	0.403	40.274	0.063	30.701	0.258	0.907	15000.0
43	0.403	40.276	0.063	30.702	0.257	0.907	15000.0
44	0.403	40.28	0.063	30.709	0.255	0.907	15000.0
45	0.403	40.274	0.063	30.703	0.264	0.907	15000.0
46	0.403	40.277	0.063	30.707	0.257	0.907	15000.0
47	0.407	40.687	0.064	30.899	0.263	0.906	15000.0
48	0.403	40.275	0.063	30.707	0.267	0.907	15000.0
49	0.403	40.276	0.063	30.708	0.26	0.907	15000.0
50	0.407	40.686	0.064	30.898	0.263	0.906	15000.0
