Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
EXO1_0_real_train1	1.63E-26	1.34E-01	5.13E-02	1.10E-01	6.26E-02	8.85E-03	3.63E-02
OGG1_0_real_train1	8.69E-03	8.88E-03	4.03E-03	1.90E-02	1.05E-03	6.54E-03	7.06E-03
RNF168_0_real_train1	1.53E-26	1.49E-01	3.32E-02	6.16E-02	4.35E-02	5.21E-03	4.91E-02
UNG_0_real_train1	1.05E-02	4.13E-02	1.05E-02	5.89E-02	8.25E-02	2.90E-03	3.19E-02
ATP2B4_0_real_train1	6.58E-03	1.72E-02	2.22E-02	2.96E-02	3.63E-02	2.95E-02	4.61E-02
ATP2B4_1_real_train1	1.03E-02	3.17E-03	1.75E-02	2.64E-02	6.79E-02	4.05E-02	5.16E-02
MLH1_0_real_train1	1.21E-01	7.04E-02	1.01E-01	2.66E-02	2.71E-02	1.47E-03	6.00E-20
MSH2_0_real_train1	1.19E-01	6.72E-02	3.79E-02	6.62E-02	3.32E-02	4.45E-21	1.33E-26
MSH6_0_real_train1	1.01E-01	1.42E-01	1.28E-01	2.44E-02	9.99E-27	4.63E-03	3.15E-02
MSH6_1_real_train1	1.02E-01	1.45E-01	1.30E-01	2.37E-02	1.00E-26	6.10E-03	3.11E-02
PMS1_0_real_train1	4.25E-31	2.71E-02	6.63E-03	4.65E-02	4.01E-02	4.88E-03	4.16E-02
PMS2_0_real_train1	1.76E-02	7.21E-03	1.35E-01	2.68E-03	8.20E-03	5.56E-03	1.60E-02
EXO1_0_multinomial_train1	1.63E-26	1.33E-01	4.92E-02	1.10E-01	6.15E-02	9.60E-03	3.59E-02
EXO1_0_multinomial_train1.1	1.63E-26	1.33E-01	5.17E-02	1.09E-01	6.28E-02	7.87E-03	3.62E-02
EXO1_0_multinomial_train1.2	1.63E-26	1.35E-01	4.93E-02	1.10E-01	6.11E-02	8.07E-03	3.23E-02
EXO1_0_multinomial_train1.3	1.63E-26	1.36E-01	5.05E-02	1.13E-01	6.41E-02	9.67E-03	3.65E-02
EXO1_0_multinomial_train1.4	1.63E-26	1.34E-01	5.75E-02	1.11E-01	6.54E-02	7.96E-03	3.11E-02
EXO1_0_multinomial_train1.5	1.63E-26	1.36E-01	5.59E-02	1.10E-01	6.55E-02	7.91E-03	3.44E-02
EXO1_0_multinomial_train1.6	1.63E-26	1.32E-01	5.11E-02	1.12E-01	6.21E-02	9.96E-03	3.57E-02
EXO1_0_multinomial_train1.7	1.63E-26	1.33E-01	6.03E-02	1.11E-01	6.70E-02	7.95E-03	3.14E-02
EXO1_0_multinomial_train1.8	1.63E-26	1.36E-01	4.49E-02	1.10E-01	5.85E-02	8.23E-03	3.26E-02
EXO1_0_multinomial_train1.9	1.63E-26	1.37E-01	5.32E-02	1.11E-01	6.35E-02	7.57E-03	3.22E-02
EXO1_0_multinomial_train1.10	1.63E-26	1.35E-01	4.95E-02	1.11E-01	6.25E-02	9.11E-03	3.64E-02
EXO1_0_multinomial_train1.11	1.63E-26	1.33E-01	5.78E-02	1.09E-01	6.62E-02	9.83E-03	3.56E-02
EXO1_0_multinomial_train1.12	1.63E-26	1.32E-01	5.52E-02	1.10E-01	6.46E-02	1.04E-02	3.44E-02
EXO1_0_multinomial_train1.13	1.63E-26	1.33E-01	4.77E-02	1.09E-01	6.04E-02	8.02E-03	3.17E-02
EXO1_0_multinomial_train1.14	1.63E-26	1.34E-01	5.32E-02	1.10E-01	6.32E-02	8.13E-03	3.23E-02
EXO1_0_multinomial_train1.15	1.63E-26	1.35E-01	4.92E-02	1.10E-01	6.12E-02	7.69E-03	3.18E-02
EXO1_0_multinomial_train1.16	1.63E-26	1.34E-01	4.78E-02	1.11E-01	6.04E-02	8.46E-03	3.59E-02
EXO1_0_multinomial_train1.17	1.63E-26	1.36E-01	4.77E-02	1.10E-01	6.02E-02	7.24E-03	3.20E-02
EXO1_0_multinomial_train1.18	1.63E-26	1.31E-01	5.39E-02	1.10E-01	6.41E-02	1.07E-02	3.61E-02
EXO1_0_multinomial_train1.19	1.63E-26	1.36E-01	5.06E-02	1.11E-01	6.21E-02	8.69E-03	3.22E-02
EXO1_0_multinomial_train1.20	1.63E-26	1.34E-01	5.44E-02	1.10E-01	6.41E-02	9.28E-03	3.25E-02
EXO1_0_multinomial_train1.21	1.63E-26	1.33E-01	5.68E-02	1.12E-01	6.58E-02	8.11E-03	3.09E-02
EXO1_0_multinomial_train1.22	1.63E-26	1.36E-01	5.09E-02	1.11E-01	6.37E-02	9.72E-03	3.62E-02
EXO1_0_multinomial_train1.23	1.63E-26	1.32E-01	5.84E-02	1.09E-01	6.63E-02	8.16E-03	3.61E-02
EXO1_0_multinomial_train1.24	1.63E-26	1.35E-01	4.75E-02	1.11E-01	6.08E-02	8.57E-03	3.60E-02
EXO1_0_multinomial_train1.25	1.63E-26	1.34E-01	4.99E-02	1.10E-01	6.16E-02	7.89E-03	3.62E-02
EXO1_0_multinomial_train1.26	1.63E-26	1.35E-01	4.63E-02	1.10E-01	6.05E-02	8.16E-03	3.64E-02
EXO1_0_multinomial_train1.27	1.63E-26	1.33E-01	5.54E-02	1.10E-01	6.43E-02	7.64E-03	3.51E-02
EXO1_0_multinomial_train1.28	1.63E-26	1.38E-01	4.49E-02	1.11E-01	6.03E-02	7.93E-03	3.58E-02
EXO1_0_multinomial_train1.29	1.63E-26	1.37E-01	4.96E-02	1.11E-01	6.11E-02	6.96E-03	3.25E-02
