NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.37	36.958	0.056	27.605	0.198	0.923	15000.0
2	0.37	36.958	0.056	27.606	0.198	0.923	15000.0
3	0.37	36.959	0.056	27.604	0.198	0.923	15000.0
4	0.37	36.956	0.056	27.605	0.198	0.923	15000.0
5	0.37	36.959	0.056	27.603	0.208	0.923	20000.0
6	0.37	36.958	0.056	27.605	0.199	0.923	15000.0
7	0.37	36.957	0.056	27.604	0.198	0.923	15000.0
8	0.37	36.958	0.056	27.605	0.2	0.923	15000.0
9	0.37	36.96	0.056	27.604	0.208	0.923	15000.0
10	0.37	36.96	0.056	27.606	0.202	0.923	15000.0
