run,seed,accuracy,f1_score,recall,best_C
1,410599,0.9645,0.9645066836527588,0.9645,100.0
2,90518,0.9645,0.9645066836527588,0.9645,100.0
3,672015,0.9645,0.9645066836527588,0.9645,100.0
4,878188,0.9645,0.9645066836527588,0.9645,100.0
5,806038,0.9645,0.9645066836527588,0.9645,100.0
6,283907,0.9645,0.9645066836527588,0.9645,100.0
7,614153,0.9645,0.9645066836527588,0.9645,100.0
8,121775,0.9645,0.9645066836527588,0.9645,100.0
9,269484,0.9645,0.9645066836527588,0.9645,100.0
10,748269,0.9645,0.9645066836527588,0.9645,100.0
