NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.666	66.641	0.109	49.84	0.562	0.78	30000.0
2	0.66	65.977	0.108	49.526	0.509	0.782	15000.0
3	0.66	65.979	0.108	49.506	0.507	0.782	15000.0
4	0.666	66.613	0.109	49.786	0.509	0.78	15000.0
5	0.668	66.801	0.109	49.904	0.528	0.779	15000.0
6	0.668	66.764	0.109	49.886	0.535	0.779	30000.0
7	0.667	66.723	0.109	49.863	0.509	0.779	15000.0
8	0.677	67.714	0.111	50.861	0.67	0.77	35000.0
9	0.66	66.044	0.108	49.556	0.537	0.781	15000.0
10	0.667	66.721	0.109	49.869	0.513	0.779	20000.0
