NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.356	35.618	0.054	26.281	0.185	0.933	20000.0
2	0.365	36.46	0.056	27.398	0.186	0.923	35000.0
3	0.368	36.828	0.056	27.432	0.241	0.927	35000.0
4	0.356	35.628	0.054	26.34	0.189	0.932	30000.0
5	0.367	36.672	0.056	27.594	0.188	0.922	15000.0
6	0.356	35.603	0.054	26.223	0.197	0.933	15000.0
7	0.356	35.605	0.054	26.308	0.184	0.932	20000.0
8	0.366	36.567	0.056	27.45	0.184	0.923	30000.0
9	0.365	36.466	0.056	27.398	0.184	0.923	25000.0
10	0.356	35.625	0.054	26.321	0.18	0.932	15000.0
