NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.667	66.741	0.11	50.046	0.519	0.776	15000.0
2	0.667	66.729	0.11	50.036	0.492	0.776	30000.0
3	0.674	67.416	0.11	50.365	0.504	0.774	30000.0
4	0.672	67.16	0.11	50.218	0.487	0.775	15000.0
5	0.674	67.396	0.11	50.353	0.477	0.774	15000.0
6	0.673	67.251	0.11	50.271	0.491	0.774	15000.0
7	0.674	67.389	0.11	50.349	0.475	0.774	15000.0
8	0.667	66.725	0.11	50.034	0.486	0.776	20000.0
9	0.674	67.386	0.11	50.345	0.489	0.774	20000.0
10	0.669	66.922	0.11	50.174	0.514	0.775	30000.0
