Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
EXO1_0_real_train1	1.00E-26	1.35E-01	5.63E-02	5.16E-02	5.29E-02	1.00E-26	1.04E-02	4.86E-02
OGG1_0_real_train1	9.88E-03	4.42E-03	5.41E-03	1.38E-54	4.67E-02	9.75E-03	7.87E-02	1.01E-02
RNF168_0_real_train1	1.58E-02	1.36E-01	3.22E-02	3.88E-03	5.23E-03	3.96E-02	7.64E-02	1.35E-01
UNG_0_real_train1	0.00E+00	1.75E-02	1.25E-02	8.93E-02	3.67E-02	4.88E-02	6.70E-03	1.74E-02
ATP2B4_0_real_train1	1.08E-03	5.09E-02	1.91E-02	3.13E-02	1.85E-02	4.13E-02	5.40E-02	1.43E-02
ATP2B4_1_real_train1	1.22E-02	4.62E-02	1.20E-02	2.79E-02	2.74E-02	4.91E-02	7.26E-02	1.55E-02
MLH1_0_real_train1	1.39E-01	1.08E-01	4.30E-02	1.04E-01	4.30E-03	2.22E-02	2.23E-02	1.02E-01
MSH2_0_real_train1	1.30E-01	5.81E-02	9.83E-04	1.53E-26	8.43E-03	7.96E-03	4.14E-02	1.32E-01
MSH6_0_real_train1	1.14E-01	6.90E-02	4.11E-02	3.34E-02	1.19E-03	3.58E-03	7.84E-03	1.55E-01
MSH6_1_real_train1	1.16E-01	6.95E-02	4.22E-02	3.17E-02	3.24E-03	0.00E+00	8.71E-03	1.56E-01
PMS1_0_real_train1	2.29E-02	1.47E-02	6.63E-03	7.44E-03	5.42E-03	4.17E-02	3.04E-02	1.00E-114
PMS2_0_real_train1	1.25E-03	2.37E-02	1.80E-02	4.27E-03	4.37E-03	1.04E-02	7.56E-03	1.09E-02
EXO1_0_multinomial_train1	1.00E-26	1.34E-01	5.43E-02	4.25E-02	4.94E-02	1.00E-26	1.05E-02	4.60E-02
EXO1_0_multinomial_train1.1	8.27E-04	1.34E-01	2.96E-02	2.67E-02	2.20E-01	1.00E-26	1.01E-02	1.33E-26
EXO1_0_multinomial_train1.2	1.00E-26	1.38E-01	5.84E-02	6.26E-02	5.91E-02	1.00E-26	9.01E-03	5.11E-02
EXO1_0_multinomial_train1.3	1.00E-26	1.38E-01	5.29E-02	4.19E-02	4.68E-02	1.00E-26	1.19E-02	4.41E-02
EXO1_0_multinomial_train1.4	1.00E-26	1.33E-01	6.13E-02	3.53E-02	6.33E-02	1.00E-26	9.25E-03	5.59E-02
EXO1_0_multinomial_train1.5	1.00E-26	1.44E-01	6.07E-02	7.28E-02	6.83E-02	6.55E-16	1.12E-02	5.28E-02
EXO1_0_multinomial_train1.6	7.08E-04	1.33E-01	5.35E-02	4.23E-02	4.88E-02	1.00E-26	1.03E-02	4.48E-02
EXO1_0_multinomial_train1.7	1.00E-26	1.33E-01	6.25E-02	3.37E-02	6.44E-02	1.00E-26	9.12E-03	5.50E-02
EXO1_0_multinomial_train1.8	4.07E-04	1.36E-01	5.66E-02	5.19E-02	5.10E-02	1.00E-26	8.92E-03	4.85E-02
EXO1_0_multinomial_train1.9	1.00E-26	1.34E-01	6.08E-02	3.04E-02	6.34E-02	1.00E-26	9.44E-03	5.25E-02
EXO1_0_multinomial_train1.10	1.00E-26	1.36E-01	5.44E-02	4.30E-02	4.83E-02	1.00E-26	1.06E-02	4.58E-02
EXO1_0_multinomial_train1.11	1.00E-26	1.33E-01	5.52E-02	4.36E-02	5.14E-02	2.30E-03	1.23E-02	4.69E-02
EXO1_0_multinomial_train1.12	1.00E-26	1.33E-01	5.32E-02	4.29E-02	4.95E-02	7.51E-10	1.23E-02	4.48E-02
EXO1_0_multinomial_train1.13	1.00E-26	1.39E-01	3.13E-02	6.67E-02	2.38E-01	1.00E-26	9.47E-03	1.24E-09
EXO1_0_multinomial_train1.14	1.00E-26	1.33E-01	5.91E-02	3.46E-02	5.90E-02	1.00E-26	9.30E-03	5.23E-02
EXO1_0_multinomial_train1.15	1.56E-03	1.39E-01	3.04E-02	6.80E-02	2.39E-01	1.00E-26	9.05E-03	4.52E-09
