NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.298	29.83	0.046	22.75	0.151	0.95	15000.0
2	0.301	30.051	0.046	22.938	0.139	0.949	15000.0
3	0.306	30.561	0.047	23.232	0.144	0.949	15000.0
4	0.299	29.868	0.046	22.807	0.168	0.95	60000.0
5	0.391	39.058	0.061	32.383	0.241	0.866	15000.0
6	0.3	30.016	0.047	22.914	0.137	0.95	15000.0
7	0.299	29.912	0.046	22.862	0.171	0.949	15000.0
8	0.38	38.022	0.062	31.323	0.167	0.901	15000.0
9	0.3	30.002	0.046	22.984	0.142	0.949	15000.0
10	0.299	29.913	0.046	22.92	0.137	0.949	15000.0
