NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	0.681	68.096	0.108	46.167	1.073	0.819	15000.0
2	0.69	68.969	0.107	45.701	0.98	0.82	15000.0
3	0.69	68.969	0.107	45.701	0.987	0.82	15000.0
4	0.681	68.096	0.108	46.167	1.073	0.819	15000.0
5	0.681	68.096	0.108	46.167	1.071	0.819	15000.0
6	0.681	68.096	0.108	46.167	1.072	0.819	15000.0
7	0.681	68.096	0.108	46.167	1.072	0.819	15000.0
8	0.681	68.096	0.108	46.167	1.072	0.819	15000.0
9	0.69	68.969	0.107	45.701	0.987	0.82	15000.0
10	0.69	68.969	0.107	45.701	0.96	0.82	15000.0
