Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M	SBS96N	SBS96O	SBS96P	SBS96Q	SBS96R	SBS96S	SBS96T	SBS96U	SBS96V	SBS96W
BRCA_TCGA-3C-AAAU	0	7	2	4	2	1	0	0	0	3	2	0	2	0	2	6	2	0	2	0	7	3	1
BRCA_TCGA-3C-AALI	13	3	66	17	8	2	4	3	11	3	6	1	0	6	506	60	13	0	11	31	14	20	10
BRCA_TCGA-3C-AALJ	0	3	3	4	3	4	0	2	1	0	2	1	8	0	10	1	0	0	3	4	7	4	6
BRCA_TCGA-3C-AALK	2	0	2	11	5	5	2	0	4	2	0	0	1	0	8	3	5	0	1	3	5	1	4
BRCA_TCGA-4H-AAAK	0	3	6	2	2	4	0	0	2	0	3	0	1	0	0	0	3	0	1	0	1	1	4
BRCA_TCGA-5L-AAT0	1	7	26	0	3	4	0	0	7	0	0	0	0	0	118	82	9	0	0	6	1	10	5
BRCA_TCGA-5L-AAT1	46	2	140	20	6	8	5	0	38	0	0	0	0	0	1180	338	109	0	0	74	0	20	0
BRCA_TCGA-5T-A9QA	0	0	0	13	5	5	3	0	4	3	0	0	2	0	0	6	0	0	0	1	2	4	5
BRCA_TCGA-A1-A0SB	0	1	1	0	4	2	0	0	0	1	3	0	1	0	0	1	0	0	0	0	2	0	0
BRCA_TCGA-A1-A0SD	0	1	2	3	8	0	0	0	2	0	2	1	5	0	2	0	3	0	0	2	3	6	0
BRCA_TCGA-A1-A0SE	0	2	3	1	0	2	0	0	1	0	2	0	1	0	0	7	6	0	2	6	0	3	0
BRCA_TCGA-A1-A0SF	1	5	3	1	0	0	0	0	1	0	0	0	0	0	19	21	8	1	0	0	0	3	1
BRCA_TCGA-A1-A0SG	0	2	4	3	4	2	0	0	0	0	3	0	2	0	0	3	3	0	0	0	2	4	3
BRCA_TCGA-A1-A0SH	6	4	1	6	0	0	1	0	3	1	3	1	3	0	56	23	8	0	3	0	10	3	6
BRCA_TCGA-A1-A0SI	7	1	16	5	2	2	2	2	1	1	4	2	3	2	193	29	0	0	0	4	0	0	2
BRCA_TCGA-A1-A0SJ	0	5	0	5	1	1	0	0	2	0	1	0	0	0	9	3	0	2	0	1	4	0	6
BRCA_TCGA-A1-A0SK	1	3	3	3	11	0	0	0	1	0	2	1	5	0	1	2	4	0	11	2	23	6	5
BRCA_TCGA-A1-A0SM	1	2	4	4	0	0	1	0	0	2	0	0	0	0	0	0	10	0	1	2	0	5	0
BRCA_TCGA-A1-A0SN	1	4	7	5	1	2	0	0	0	0	1	3	5	0	20	3	5	1	0	3	14	1	0
BRCA_TCGA-A1-A0SO	16	4	5	4	11	5	8	0	14	4	5	3	21	35	20	9	0	6	33	9	80	35	26
BRCA_TCGA-A1-A0SP	0	6	0	4	3	1	1	0	10	1	1	2	5	0	0	9	0	0	13	0	13	1	0
BRCA_TCGA-A2-A04N	0	1	6	5	3	0	4	0	2	0	2	1	5	5	4	3	5	1	0	2	2	1	1
BRCA_TCGA-A2-A04R	5	4	3	2	3	1	5	2	1	3	0	1	5	15	7	3	0	3	5	3	26	5	0
BRCA_TCGA-A2-A04U	0	3	4	2	8	0	2	2	1	2	3	0	3	0	2	3	0	2	2	0	13	9	6
BRCA_TCGA-A2-A04W	3	6	17	6	0	0	0	0	7	4	6	2	4	0	97	21	0	1	4	0	2	0	7
BRCA_TCGA-A2-A0CK	0	2	1	4	5	0	1	0	0	0	1	1	0	2	1	4	3	0	0	0	0	0	2
BRCA_TCGA-A2-A0CL	0	3	14	10	8	3	2	0	0	0	3	1	0	0	117	18	7	2	0	10	0	2	0
BRCA_TCGA-A2-A0CR	1	0	10	3	2	0	0	1	3	2	0	1	0	0	130	31	16	0	2	0	0	8	0
BRCA_TCGA-A2-A0CS	0	6	2	4	4	0	0	0	5	0	2	0	1	1	0	0	7	0	1	2	2	2	9
BRCA_TCGA-A2-A0CV	0	5	3	2	0	0	0	0	0	1	0	0	2	2	1	0	1	0	1	0	3	2	1
BRCA_TCGA-A2-A0CW	2	1	5	6	6	0	1	2	0	1	0	0	0	2	20	8	5	0	2	3	13	4	3
BRCA_TCGA-A2-A0D3	0	4	2	7	3	0	0	2	2	0	1	0	1	3	1	1	2	0	1	0	0	1	1
BRCA_TCGA-A2-A0EN	0	1	3	2	6	2	0	0	1	2	2	0	6	2	0	2	4	0	0	0	4	2	0
BRCA_TCGA-A2-A0EP	0	0	0	0	1	1	1	0	0	1	0	0	2	0	5	1	1	1	0	0	0	0	2
BRCA_TCGA-A2-A0ES	0	1	1	1	1	1	0	0	2	1	0	0	2	0	0	2	2	0	0	0	5	0	0
BRCA_TCGA-A2-A0EW	0	1	1	3	1	0	0	0	2	0	3	0	1	0	1	1	3	0	0	0	3	0	0
